1,Babar Azam,Pakistan,824,824,2024-04-18,3,56.72
2,Shubman Gill,India,801,801,2024-04-18,2,61.38
3,Virat Kohli,India,768,768,2024-04-18,2,58.68
4,Harry Tector,Ireland,746,746,2024-04-18,27,49.91
4,Rohit Sharma,India,746,746,2024-04-18,2,49.12
6,Daryl Mitchell,New Zealand,728,728,2024-04-18,13,52.57
7,David Warner,Australia,723,723,2024-04-18,4,45.01
8,Pathum Nissanka,Sri Lanka,711,711,2024-04-18,5,44.50
9,Dawid Malan,England,707,707,2024-04-18,9,55.77
10,Rassie van der Dussen,South Africa,701,701,2024-04-18,11,52.44
11,Heinrich Klaasen,South Africa,697,697,2024-04-18,11,40.07
12,Shreyas Iyer,India,689,689,2024-04-18,2,49.65
13,Fakhar Zaman,Pakistan,682,682,2024-04-18,3,46.56
14,Charith Asalanka,Sri Lanka,681,681,2024-04-18,5,43.59
15,Shai Hope,West Indies,676,676,2024-04-18,10,49.78
